Q5T8D3 ACBD5
Q9BR61 ACBD6
Q8N6N7 ACBD7
Q96GR2 ACSBG1
Q5FVE4 ACSBG2
P07108 DBI
Q6JQN1 ACAD10
Q709F0 ACAD11
P45954 ACADSB
Q96AP0 ACD
Q9BYF1 ACE2
Q8TDN7 ACER1
Q5QJU3 ACER2
Q9NUN7 ACER3
P22303 ACHE
P12821 ACE
Q9GZZ6 CHRNA10
Q15822 CHRNA2
P32297 CHRNA3
P43681 CHRNA4
P30532 CHRNA5
Q15825 CHRNA6
P36544 CHRNA7
Q9UGM1 CHRNA9
P02708 CHRNA1
P17787 CHRNB2
Q05901 CHRNB3
P30926 CHRNB4
P11230 CHRNB1
Q07001 CHRND
Q04844 CHRNE
P07510 CHRNG
Q9UKV3 ACIN1
Q07912 TNK2
Q16570 ACKR1
O00590 ACKR2
P25106 ACKR3
Q9NPB9 ACKR4
Q5JWF8 ACTL10
O96019 ACTL6A
O94805 ACTL6B
Q9Y615 ACTL7A
Q9Y614 ACTL7B
P53396 ACLY
P11229 CHRM1
P08172 CHRM2
P20309 CHRM3
P08173 CHRM4
P08912 CHRM5
Q8TDX5 ACMSD
Q8WXI4 ACOT11
Q8WYK0 ACOT12
Q9NPJ3 ACOT13
Q8N1Q8 THEM5
P21399 ACO1
O00767 SCD
Q99798 ACO2
Q86TX2 ACOT1
P49753 ACOT2
Q8N9L9 ACOT4
Q3I5F7 ACOT6
O14734 ACOT8
Q9Y305 ACOT9
Q15067 ACOX1
Q99424 ACOX2
O15254 ACOX3
Q9NUZ1 ACOXL
Q6ZNF0 ACP7
P13798 APEH
O14561 NDUFAB1
Q8NEB7 ACRBP
Q96QF7 ACRC
P10323 ACR
Q08AH3 ACSM2A
Q68CK6 ACSM2B
Q9NUB1 ACSS1
Q9NR19 ACSS2
Q96CM8 ACSF2
Q4G176 ACSF3
Q4L235 AASDH
P33121 ACSL1
O95573 ACSL3
O60488 ACSL4
Q9ULC5 ACSL5
Q9UKU0 ACSL6
Q08AH1 ACSM1
Q53FZ2 ACSM3
P0C7M7 ACSM4
Q6NUN0 ACSM5
Q6P461 ACSM6
Q9H6R3 ACSS3
P62736 ACTA2
Q562R1 ACTBL2
Q9BYX7 POTEKP
P60709 ACTB
P68032 ACTC1
P63261 ACTG1
Q01718 MC2R
P63267 ACTG2
Q9H568 ACTL8
Q8TC94 ACTL9
P12814 ACTN1
P35609 ACTN2
Q08043 ACTN3
O43707 ACTN4
P68133 ACTA1
Q8TDG2 ACTRT1
Q8TDY3 ACTRT2
Q9BYD9 ACTRT3
P42025 ACTR1B
P61163 ACTR1A
P36896 ACVR1B
Q8NER5 ACVR1C
P37023 ACVRL1
Q04771 ACVR1
Q03154 ACY1
P45381 ASPA
Q96HD9 ACY3
P07311 ACYP1
P14621 ACYP2
O14672 ADAM10
O75078 ADAM11
O43184 ADAM12
Q13444 ADAM15
P78536 ADAM17
Q9Y3Q7 ADAM18
Q9H013 ADAM19
P35348 ADRA1A
P35368 ADRA1B
P25100 ADRA1D
O43506 ADAM20
Q9UKJ8 ADAM21
Q9P0K1 ADAM22
O75077 ADAM23
Q9UKQ2 ADAM28
Q9UKF5 ADAM29
P08913 ADRA2A
P18089 ADRA2B
P18825 ADRA2C
Q9UKF2 ADAM30
Q8TC27 ADAM32
Q9BZ11 ADAM33
Q96M93 ADAD1
Q8NCV1 ADAD2
Q6DHV7 ADAL
Q99965 ADAM2
Q6NVV9 ADAM5
Q9H2U9 ADAM7
P78325 ADAM8
Q13443 ADAM9
O75689 ADAP1
Q9NPF8 ADAP2
A8MUL3 ADARB2-AS1
O00116 AGPS
Q9BUB4 ADAT1
Q7Z6V5 ADAT2
Q96EY9 ADAT3
P00813 ADA
Q86TW2 ADCK1
Q7Z695 ADCK2
Q8NI60 ADCK3
Q96D53 ADCK4
Q3MIX3 ADCK5
Q6P093 AADACL2
Q5VUY0 AADACL3
Q5VUY2 AADACL4
Q08828 ADCY1
Q08462 ADCY2
O60266 ADCY3
Q8NFM4 ADCY4
O95622 ADCY5
O43306 ADCY6
P51828 ADCY7
P40145 ADCY8
O60503 ADCY9
Q96PN6 ADCY10
P35611 ADD1
P35612 ADD2
Q9UEY8 ADD3
O15204 ADAMDEC1
Q8N7X0 ADGB
P07327 ADH1A
P00325 ADH1B
P00326 ADH1C
P08319 ADH4
P28332 ADH6
P40394 ADH7
P11766 ADH5
Q0VDE8 ADIG
Q5T7M4 FAM132A
Q15848 ADIPOQ
Q9Y2D8 SSX2IP
Q15847 ADIRF
P55263 ADK
Q7Z4H4 ADM2
C9JUS6 ADM5
P35318 ADM
Q6IQ32 ADNP2
Q9H2P0 ADNP
Q9BRR6 ADPGK
Q9NRN7 AASDHPPT
P54922 ADPRH
Q3LIE5 ADPRM
Q96A54 ADIPOR1
Q86V24 ADIPOR2
P08588 ADRB1
P07550 ADRB2
P13945 ADRB3
Q16186 ADRM1
P22570 FDXR
Q9Y6U3 SCIN
P12235 SLC25A4
P05141 SLC25A5
P12236 SLC25A6
Q9H0C2 SLC25A31
Q96IZ2 ADTRP
Q6P4F2 FDX1L
P10109 FDX1
Q8IUX7 AEBP1
Q6ZN18 AEBP2
Q96SZ5 ADO
Q6UXC1 MAMDC4
Q8WTP8 AEN
Q08117 AES
P55197 MLLT10
P55198 MLLT6
Q8TED9 AFAP1L1
Q8N4X5 AFAP1L2
Q13015 MLLT11
P42568 MLLT3
P55196 MLLT4
P43652 AFM
Q8N556 AFAP1
P51825 AFF1
P51816 AFF2
P51826 AFF3
Q9UHB7 AFF4
Q9Y4W6 AFG3L2
Q6ULP2 AFTPH
Q5BKT4 ALG10
Q5I7T1 ALG10B
A8MT82 AGAP14P
C9J202 ALG1L2
Q8TF27 AGAP11
P06280 GLA
Q9UPQ3 AGAP1
Q99490 AGAP2
Q96P47 AGAP3
Q96P64 AGAP4
A6NIR3 AGAP5
Q5VW22 AGAP6
Q5VUJ5 AGAP7P
Q5VTM2 AGAP9
P52594 AGFG1
O95081 AGFG2
Q8N302 AGGF1
Q9H0P7 AGPAT4-IT1
Q53H12 AGK
O95394 PGM3
Q9UL18 AGO1
Q9UKV8 AGO2
Q9H9G7 AGO3
Q9HCK5 AGO4
O95994 AGR2
Q8TD06 AGR3
Q86SQ6 ADGRA1
Q96PE1 ADGRA2
Q8IWK6 ADGRA3
O60241 ADGRB2
O60242 ADGRB3
Q6QNK2 ADGRD1
Q7Z7M1 ADGRD2
Q14246 ADGRE1
Q9UHX3 ADGRE2
Q9BY15 ADGRE3
Q86SQ3 ADGRE4P
Q5T601 ADGRF1
Q8IZF7 ADGRF2
Q8IZF5 ADGRF3
Q8IZF3 ADGRF4
Q8IZF2 ADGRF5
Q9Y653 ADGRG1
Q8IZP9 ADGRG2
Q86Y34 ADGRG3
Q8IZF6 ADGRG4
Q8IZF4 ADGRG5
Q96K78 ADGRG7
O00468 AGRN
O94910 ADGRL1
O95490 ADGRL2
Q9HAR2 ADGRL3
Q9HBW9 ADGRL4
O00253 AGRP
Q9BYV1 AGXT2
P30556 AGTR1
P50052 AGTR2
Q5TGY3 AHDC1
Q8N157 AHI1
Q8IVF2 AHNAK2
Q09666 AHNAK
A9YTQ3 AHRR
P35869 AHR
O95433 AHSA1
Q719I0 AHSA2
Q9NZD4 AHSP
Q9GZX7 AICDA
Q96BJ3 AIDA
Q9BQI0 AIF1L
P55008 AIF1
O95831 AIFM1
Q9BRQ8 AIFM2
Q96NN9 AIFM3
Q9NVV5 AIG1
Q8N1P7 AIM1L
Q9Y4K1 AIM1
O14862 AIM2
Q12904 AIMP1
Q13155 AIMP2
Q16352 INA
Q9NZN9 AIPL1
O00170 AIP
O43918 AIRE
Q9UKB5 AJAP1
Q96IF1 AJUBA
Q02040 AKAP17A
P14550 AKR1A1
O60218 AKR1B10
C9JRZ8 AKR1B15
Q04828 AKR1C1
P52895 AKR1C2
P42330 AKR1C3
P17516 AKR1C4
P51857 AKR1D1
O43572 AKAP10
Q9UKA4 AKAP11
Q02952 AKAP12
Q86UN6 AKAP14
O43687 AKAP7
Q9P0M2 AKAP7
P0CW23 AKAIN1
Q92667 AKAP1
Q9Y2D5 AKAP2
O75969 AKAP3
Q5JQC9 AKAP4
P24588 AKAP5
Q13023 AKAP6
O43823 AKAP8
Q99996 AKAP9
Q5T2L2 AKR1C8P
Q96JD6 AKR1E2
Q495B1 ANKDD1A
A6NHY2 ANKDD1B
Q9P2G1 ANKIB1
Q9NQ31 AKIP1
Q9NWT8 AURKAIP1
Q9H9L7 AKIRIN1
Q53H80 AKIRIN2
Q7Z591 AKNA
Q5T1N1 AKNAD1
Q12802 AKAP13
Q9ULX6 AKAP8L
P31749 AKT1
P31751 AKT2
Q9Y243 AKT3
Q9H8T0 AKTIP
Q96B36 AKT1S1
Q8N8R7 ARL14EP
P00352 ALDH1A1
O94788 ALDH1A2
P47895 ALDH1A3
P30837 ALDH1B1
O75891 ALDH1L1
Q3SY69 ALDH1L2
Q60I27 ALS2CL
Q53TS8 ALS2CR11
Q96Q35 ALS2CR12
P30838 ALDH3A1
P51648 ALDH3A2
P43353 ALDH3B1
P48448 ALDH3B2
P30038 ALDH4A1
P20292 ALOX5AP
P49419 ALDH7A1
Q9H2A2 ALDH8A1
P49189 ALDH9A1
P24298 GPT
Q8TD30 GPT2
P02768 ALB
P05091 ALDH2
P04075 ALDOA
P05062 ALDOB
P09972 ALDOC
P15121 AKR1B1
P84996 GNAS
Q2TAA5 ALG11
Q9BV10 ALG12
Q9NP73 ALG13
Q96F25 ALG14
Q6GMV1 ALG1L
Q9BT22 ALG1
Q9H553 ALG2
Q92685 ALG3
Q9Y673 ALG5
Q9Y672 ALG6
Q9BVK2 ALG8
Q9H6U8 ALG9
Q13686 ALKBH1
Q6NS38 ALKBH2
Q96Q83 ALKBH3
Q9NXW9 ALKBH4
Q6P6C2 ALKBH5
Q3KRA9 ALKBH6
Q9BT30 ALKBH7
Q96BT7 ALKBH8
Q6ZNB7 AGMO
Q9UM73 ALK
Q8N6M5 ALLC
Q8TCU4 ALMS1
Q96QP1 ALPK1
Q86TB3 ALPK2
Q96L96 ALPK3
P55789 GFER
