Entry	Gene names
Q04917	YWHAH YWHA1
P30443	HLA-A HLAA
P30512	HLA-A HLAA
P16190	HLA-A HLAA
P30457	HLA-A HLAA
P01891	HLA-A HLAA
P30685	HLA-B HLAB
Q04826	HLA-B HLAB
P30481	HLA-B HLAB
P30488	HLA-B HLAB
P30492	HLA-B HLAB
Q29836	HLA-B HLAB
P30498	HLA-B HLAB
P10321	HLA-C HLAC
P30510	HLA-C HLAC
Q95604	HLA-C D6S204 HLA-JY3 HLAC
P11171	EPB41 E41P
Q13542	EIF4EBP2
Q9BXI3	NT5C1A
Q969T7	NT5C3B NT5C3L
P49902	NT5C2 NT5B NT5CP PNT5
P52209	PGD PGDH
P04217	A1BG
Q9NQ94	A1CF ACF ASP
Q5TYW2	ANKRD20A1 ANKRD20A
Q4UJ75	ANKRD20A4
P02750	LRG1 LRG
P01023	A2M CPAMD5 FWP007
Q15758	SLC1A5 ASCT2 M7V1 RDR RDRC
Q2M2I8	AAK1 KIAA1048
Q9UGI9	PRKAG3 AMPKG3
Q9NRK6	ABCB10
O14678	ABCD4 PXMP1L
Q9H172	ABCG4 WHITE2
Q9BV23	ABHD6
Q8NFV4	ABHD11 WBSCR21 PP1226
Q96IU4	ABHD14B CIB
Q6H8Q1	ABLIM2 KIAA1808
Q12979	ABR
P11310	ACADM
P49748	ACADVL VLCAD
Q8TDN7	ACER1 ASAH3
Q9NUN7	ACER3 APHC PHCA
Q8N1Q8	THEM5 ACOT15
Q9NUZ1	ACOXL
O14561	NDUFAB1
Q8NEB7	ACRBP
Q08AH3	ACSM2A ACSM2 MACS2
Q9NR19	ACSS2 ACAS2
O95573	ACSL3 ACS3 FACL3 LACS3
Q9BYX7	POTEKP ACTBL3 FKSG30
P68032	ACTC1 ACTC
P63267	ACTG2 ACTA3 ACTL3 ACTSG
Q8TDY3	ACTRT2 ARPM2
Q03154	ACY1
Q96HD9	ACY3 ASPA2
P14621	ACYP2 ACYP
Q9UKJ8	ADAM21
Q9UKF5	ADAM29
P08913	ADRA2A ADRA2R ADRAR
Q9BZ11	ADAM33 C20orf153 UNQ873/PRO1891
Q8NCV1	ADAD2 TENRL
Q13443	ADAM9 KIAA0021 MCMP MDC9 MLTNG
Q7Z6V5	ADAT2 DEADC1
Q7Z695	ADCK2 AARF
Q8NI60	ADCK3 CABC1 PP265
P22303	ACHE
P32297	CHRNA3 NACHRA3
P30532	CHRNA5 NACHRA5
P36544	CHRNA7 NACHRA7
P30926	CHRNB4
Q07001	CHRND ACHRD
Q9Y615	ACTL7A
O00767	SCD
O15254	ACOX3 BRCOX PRCOX
Q4L235	AASDH ACSF4 U26 HSPC318
P62736	ACTA2 ACTSA ACTVS GIG46
P63261	ACTG1 ACTG
Q9H568	ACTL8
P12814	ACTN1
Q08043	ACTN3
P61163	ACTR1A CTRN1
Q8NER5	ACVR1C ALK7
Q04771	ACVR1 ACVRLK2
O60266	ADCY3 KIAA0511
P35611	ADD1 ADDA
Q8N7X0	ADGB C6orf103 CAPN7L
P35318	ADM AM
Q3LIE5	ADPRM C17orf48 MDS006 Nbla03831
Q16186	ADRM1 GP110
P05141	SLC25A5 ANT2
Q9H0C2	SLC25A31 AAC4 ANT4 SFEC
Q96SZ5	ADO C10orf22
Q8TF27	AGAP11 KIAA1975
Q9UPQ3	AGAP1 CENTG2 KIAA1099
Q9H9G7	AGO3 EIF2C3
O60241	ADGRB2 BAI2
Q9Y653	ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083
Q86Y34	ADGRG3 GPR97 PGR26
P30556	AGTR1 AGTR1A AGTR1B AT2R1 AT2R1B
Q8N1P7	AIM1L CRYBG2
O14862	AIM2
O60218	AKR1B10 AKR1B11
Q9UKA4	AKAP11 AKAP220 KIAA0629
Q02952	AKAP12 AKAP250
Q5T1N1	AKNAD1 C1orf62
Q8N8R7	ARL14EP ARF7EP C11orf46
P00352	ALDH1A1 ALDC ALDH1 PUMB1
Q60I27	ALS2CL
Q96Q35	ALS2CR12
P20292	ALOX5AP FLAP
Q9BT22	ALG1 HMAT1 HMT1 PSEC0061 UNQ861/PRO1870
Q8TCU4	ALMS1 KIAA0328
O96019	ACTL6A BAF53 BAF53A INO80K
Q9Y614	ACTL7B
P53396	ACLY
P20309	CHRM3
Q9NPJ3	ACOT13 THEM2 HT012 PNAS-27
P21399	ACO1 IREB1
Q9Y305	ACOT9 CGI-16
Q6NUN0	ACSM5 MACS3
Q8TC94	ACTL9 ACTL7C HSD21
P35609	ACTN2
O43184	ADAM12 MLTN UNQ346/PRO545
Q13444	ADAM15 MDC15
P78536	ADAM17 CSVP TACE
Q6NVV9	ADAM5 ADAM5P TMDC2
O00116	AGPS AAG5
Q96EY9	ADAT3 TAD3
P00813	ADA ADA1
Q3MIX3	ADCK5
Q8NFM4	ADCY4
Q9Y2D8	SSX2IP KIAA0923
C9JUS6	ADM5 C19orf76
P22570	FDXR ADXR
Q96IZ2	ADTRP C6orf105
Q6ZN18	AEBP2
Q08117	AES GRG GRG5
P55198	MLLT6 AF17
Q8N556	AFAP1 AFAP
Q9Y4W6	AFG3L2
P06280	GLA
Q5VTM2	AGAP9 CTGLF6
O95081	AGFG2 HRBL RABR
Q5T601	ADGRF1 GPR110 PGR19
O95831	AIFM1 AIF PDCD8
Q12904	AIMP1 EMAP2 SCYE1
Q96IF1	AJUBA JUB
P17516	AKR1C4 CHDR
P51857	AKR1D1 SRD5B1
O43823	AKAP8 AKAP95
Q96JD6	AKR1E2 AKR1CL2 AKRDC1
Q9P2G1	ANKIB1 KIAA1386
Q9H9L7	AKIRIN1 C1orf108
Q7Z591	AKNA KIAA1968
Q96B36	AKT1S1 PRAS40
P47895	ALDH1A3 ALDH6
P43353	ALDH3B1 ALDH7
P30038	ALDH4A1 ALDH4 P5CDH
P49419	ALDH7A1 ATQ1
Q9H2A2	ALDH8A1 ALDH12
Q8TD30	GPT2 AAT2 ALT2
Q96QU6	ACCS PHACS
P30450	HLA-A HLAA
P10314	HLA-A HLAA
P30456	HLA-A HLAA
P10316	HLA-A HLAA
Q31612	HLA-B HLAB
Q29960	HLA-C HLAC
Q14738	PPP2R5D
P13761	HLA-DRB1
Q29974	HLA-DRB1
Q9Y3L3	SH3BP1
O60239	SH3BP5 SAB
P29372	MPG AAG ANPG MID1
P08908	HTR1A ADRB2RL1 ADRBRL1
P28223	HTR2A HTR2
P21589	NT5E NT5 NTE
P36639	NUDT1 MTH1
P01009	SERPINA1 AAT PI PRO0684 PRO2209
Q8NF67	ANKRD20A12P
A8K2U0	A2ML1 CPAMD9
Q9UNA3	A4GNT
P30542	ADORA1
P29274	ADORA2A ADORA2
P54619	PRKAG1
Q9H7C9	AAMDC C11orf67 PTD015
Q13685	AAMP
P86434	ADORA2A-AS1 C22orf45
Q9UDR5	AASS
P00505	GOT2
Q8IUX4	APOBEC3F
Q6NTF7	APOBEC3H
Q9BZC7	ABCA2 ABC2 KIAA1062
Q99758	ABCA3 ABC3
Q9H221	ABCG8
Q8N2K0	ABHD12 C20orf22
P41238	APOBEC1
Q9Y235	APOBEC2
P08910	ABHD2 LABH2
Q8WTS1	ABHD5 NCIE2 CGI-58
O94929	ABLIM3 KIAA0843 HMFN1661
P17787	CHRNB2
Q04844	CHRNE ACHRE
Q5JWF8	ACTL10 C20orf134
Q8N9L9	ACOT4 PTE2B PTEIB
Q6ZNF0	ACP7 PAPL PAPL1
Q96QF7	ACRC
P10323	ACR ACRS
Q9NUB1	ACSS1 ACAS2L KIAA1846
O60488	ACSL4 ACS4 FACL4 LACS4
Q9H6R3	ACSS3
P68133	ACTA1 ACTA
P01912	HLA-DRB1
Q30167	HLA-DRB1
Q5Y7A7	HLA-DRB1
P78314	SH3BP2 3BP2 RES4-23
Q7L8J4	SH3BP5L KIAA1720 UNQ2766/PRO7133
P46098	HTR3A 5HT3R HTR3
Q70Z44	HTR3D
P56378	MP68 C14orf2 PRO1574
U3KPV4	A3GALT2 A3GALT2P IGBS3S
Q9NPC4	A4GALT A14GALT A4GALT1
Q9NS82	SLC7A10 ASC1
P01011	SERPINA3 AACT GIG24 GIG25
Q4LEZ3	AARD C8orf85
Q8NHS2	GOT1L1
O94911	ABCA8 KIAA0822
Q96J66	ABCC11 MRP8
O95870	ABHD16A BAT5 G5 NG26 PP199
Q8IZP0	ABI1 SSH3BP1
Q9H845	ACAD9
P16219	ACADS
Q15027	ACAP1 CENTB1 KIAA0050
Q96P50	ACAP3 CENTB5 KIAA1716
Q5QJU3	ACER2 ASAH3L PP11646
Q15822	CHRNA2
Q15825	CHRNA6
P11230	CHRNB1 ACHRB CHRNB
Q07912	TNK2 ACK1
Q9NPB9	ACKR4 CCBP2 CCR11 CCRL1 VSHK1
P08173	CHRM4
Q8TDX5	ACMSD
Q8WXI4	ACOT11 BFIT KIAA0707 THEA
Q8WYK0	ACOT12 CACH CACH1 STARD15
O14734	ACOT8 ACTEIII PTE1 PTE2
P63104	YWHAZ
P04439	HLA-A HLAA
P13746	HLA-A HLAA
Q66LE6	PPP2R2D KIAA1541
P13760	HLA-DRB1
Q9H2F3	HSD3B7
P28221	HTR1D HTR1DA HTRL
P30939	HTR1F HTR1EL
Q13639	HTR4
P47898	HTR5A
P50406	HTR6
Q96P26	NT5C1B AIRP FKSG85
P02763	ORM1 AGP1
A7E2S9	ANKRD30BL NCRNA00164
P29275	ADORA2B
Q7RTV5	AAED1 C9orf21
Q9BTE6	AARSD1
Q96AK3	APOBEC3D
O95477	ABCA1 ABC1 CERP
Q8WWZ7	ABCA5 KIAA1888
Q8IUA7	ABCA9
Q9NUT2	ABCB8 MABC1
P45844	ABCG1 ABC8 WHT1
Q9UNQ0	ABCG2 ABCP BCRP BCRP1 MXR
Q8WU67	ABHD3
Q96I13	ABHD8
Q9BUJ0	ABHD14A UNQ1913/PRO4373
Q9P2A4	ABI3 NESH
O14639	ABLIM1 ABLIM KIAA0059 LIMAB1
Q15057	ACAP2 CENTB2 KIAA0041
Q8NC06	ACBD4 HMFT0700
Q5T8D3	ACBD5 KIAA1996
Q8N6N7	ACBD7
Q6JQN1	ACAD10
Q9BYF1	ACE2 UNQ868/PRO1885
Q9GZZ6	CHRNA10 NACHRA10
