Entry	Gene names
A8MT70	ZBBX
O75132	ZBED4 KIAA0637
P86452	ZBED6
O96006	ZBED1 ALTE DREF KIAA0785 TRAMP
Q13105	ZBTB17 MIZ1 ZNF151 ZNF60
Q9Y2Y4	ZBTB32 FAZF TZFP ZNF538
Q9NUA8	ZBTB40 KIAA0478
P10074	ZBTB48 HKR3 ZNF855
Q6ZSB9	ZBTB49 ZNF509
O75152	ZC3H11A KIAA0663 ZC3HDC11A
Q53FD0	ZC2HC1C C14orf140 FAM164C
Q8IXZ2	ZC3H3 KIAA0150 SMICL ZC3HDC3
P0CG32	ZCCHC18
Q8TBK6	ZCCHC10
Q8WYQ9	ZCCHC14 KIAA0579
Q9NUD5	ZCCHC3 C20orf99
Q8N567	ZCCHC9
Q504Y3	ZCWPW2
Q8TBF4	ZCRB1
Q86XD8	ZFAND4 ANUBL1
Q6FIF0	ZFAND6 AWP1 ZA20D3 HT032
O95409	ZIC2
Q96T25	ZIC5
Q63HK3	ZKSCAN2 ZNF694
Q969J2	ZKSCAN4 ZNF307 ZNF427
Q9HA38	ZMAT3 PAG608 WIG1
Q9UDW3	ZMAT5
Q9H091	ZMYND15
Q14202	ZMYM3 DXS6673E KIAA0385 ZNF261
Q15973	ZNF124
P52742	ZNF135 ZNF61 ZNF78L1
Q15928	ZNF141 D4S90
Q13106	ZNF154 KIAA2003
P51786	ZNF157
Q9UJW8	ZNF180
O15231	ZNF185
O14709	ZNF197 ZKSCAN9 ZNF166
Q8N554	ZNF276 CENP-Z ZFP276 ZNF477
Q5JNZ3	ZNF311 ZFP31
Q96PQ6	ZNF317 KIAA1588
Q5VUA4	ZNF318 HRIHFB2436
Q86UD4	ZNF329
Q96JL9	ZNF333 KIAA1806
Q9H4Z2	ZNF335
Q14585	ZNF345
Q96PM5	RCHY1 ARNIP CHIMP PIRH2 RNF199 ZNF363
Q8NA42	ZNF383 HSD17
Q53GI3	ZNF394 ZKSCAN14
Q9H8N7	ZNF395 HDBP2 PBF
Q96IQ9	ZNF414
Q9H8G1	ZNF430
Q9C0F3	ZNF436 KIAA1710
Q8N8Z8	ZNF441
Q9NWS9	ZNF446 ZKSCAN20
Q8TAF7	ZNF461 GIOT1
Q7Z7K2	ZNF467
Q5VIY5	ZNF468
Q6S9Z5	ZNF474
Q8WV37	ZNF480
Q8NCK3	ZNF485
Q96MN9	ZNF488
Q6ZNH5	ZNF497
Q8TBZ5	ZNF502
Q5JVG8	ZNF506
Q96K75	ZNF514
Q96SQ5	ZNF587
Q6PF04	ZNF613
Q969S3	ZNF622 ZPR9
Q9P2J8	ZNF624 KIAA1349
Q2M218	ZNF630
Q9Y2D9	ZNF652 KIAA0924
Q96CK0	ZNF653 ZIP67
Q8N720	ZNF655 VIK
Q8NEM1	ZNF680
Q5T5D7	ZNF684
Q5TEC3	ZNF697
Q9H963	ZNF702P ZNF702
Q96C28	ZNF707
Q9BY31	ZNF717
Q32MQ0	ZNF750
Q86XN6	ZNF761 KIAA2033
Q5HY98	ZNF766
Q96BV0	ZNF775
Q8N8C0	ZNF781
Q8NCA9	ZNF784
Q8N393	ZNF786
Q5FWF6	ZNF789
Q2TB10	ZNF800 PP902
P16415	ZNF823 ZFP36
Q6ZTB9	ZNF833P ZNF833
A8K0R7	ZNF839 C14orf131
Q08AG5	ZNF844
Q147U1	ZNF846
O60290	ZNF862 KIAA0543
C9JN71	ZNF878
P17021	ZNF17 KIAA1947 KOX10
P17026	ZNF22 KOX15 KROX26
P17027	ZNF23 KOX16 ZNF359 ZNF612
P17031	ZNF26 KOX20
Q15935	ZNF77
P51504	ZNF80
Q03923	ZNF85
Q03938	ZNF90
Q03936	ZNF92
O43257	ZNHIT1 CGBP1 ZNFN4A1
Q9UGI0	ZRANB1 TRABID
Q9BUG6	ZSCAN5A ZNF495 ZSCAN5
P10073	ZSCAN22 HKR2 ZNF50
Q8IWY8	ZSCAN29 ZNF690
Q9NX65	ZSCAN32 ZNF434 HCCS5
Q8NEG5	ZSWIM2 ZZZ2
Q8NHY6	ZFP28 KIAA1431
Q9Y2G7	ZFP30 KIAA0961 ZNF745
Q96NJ6	ZFP3 ZNF752
Q96JP5	ZFP91 ZNF757 FKSG11
Q9HBF4	ZFYVE1 DFCP1 KIAA1589 TAFF1 ZNFN2A1 PP10436
Q9UKY1	ZHX1
Q9Y6X8	ZHX2 AFR1 KIAA0854 RAF
Q9H898	ZMAT4
Q9H0C1	ZMYND12
Q96E35	ZMYND19 MIZIP
Q5SVZ6	ZMYM1
Q9UJU3	ZNF112 ZFP112 ZNF228
P58317	ZNF121 ZNF20
P52739	ZNF131
Q9UL40	ZNF346 JAZ
Q96SE7	ZNF347 ZNF1111
Q5T0B9	ZNF362 PP6997
Q70YC5	ZNF365 KIAA0844
Q96SR6	ZNF382
Q8TF68	ZNF384 CAGH1 CIZ NMP4 TNRC1
Q96HQ0	ZNF419 ZNF419A
Q8TF39	ZNF483 KIAA1962 ZKSCAN16
Q96H40	ZNF486 KRBO2
Q9ULM2	ZNF490 KIAA1198
Q96F45	ZNF503 NOLZ1
Q8NB15	ZNF511
Q96ME7	ZNF512 KIAA1805
Q96K83	ZNF521 EHZF LIP3
Q6P9A1	ZNF530 KIAA1508
Q8NDQ6	ZNF540 Nbla10512
Q7Z398	ZNF550
Q9H707	ZNF552
Q96NG5	ZNF558
Q6V9R5	ZNF562
Q96NI8	ZNF570
Q86YE8	ZNF573
Q92610	ZNF592 KIAA0211
Q96JF6	ZNF594 KIAA1871
Q96LX8	ZNF597
Q6ZNG1	ZNF600
Q96SK3	ZNF607
Q8N823	ZNF611
Q8N8J6	ZNF615
Q8N2I2	ZNF619
Q6ZSS3	ZNF621
O75123	ZNF623 KIAA0628
Q68DY1	ZNF626
Q9UEG4	ZNF629 KIAA0326 ZNF65
Q9UID6	ZNF639 ZASC1
Q9BS31	ZNF649
Q8IZM8	ZNF654
Q6AZW8	ZNF660
Q96K58	ZNF668
Q9BS34	ZNF670
Q5SXM1	ZNF678
Q9NV72	ZNF701
Q8N1W2	ZNF710
Q0D2J5	ZNF763
Q68DY9	ZNF772
A8K554	ZNF815P ZNF815
Q6ZRF7	ZNF818P ZNF818
Q17R98	ZNF827
Q6ZNA1	ZNF836
O60384	ZNF861P
P0CJ78	ZNF865
Q6PDB4	ZNF880
Q15929	ZNF56 ZNF742
Q15940	ZNF726P1 ZNF67 ZNF67P
Q9UC07	ZNF69
P51522	ZNF83 ZNF816B
A8MXY4	ZNF99 C19orf9
Q8NHG8	ZNRF2 RNF202
Q6PML9	SLC30A9 C4orf1 HUEL
Q96SZ4	ZSCAN10 ZNF206
Q8TBC5	ZSCAN18 ZNF447
Q16670	ZSCAN26 ZNF187
Q96LW9	ZSCAN31 ZNF310P ZNF323
O15535	ZSCAN9 ZNF193 PIG12
Q96MP5	ZSWIM3 C20orf164
Q9HCJ5	ZSWIM6 KIAA1577
O95229	ZWINT
Q8N814	
Q8NFD4	
Q8N1Y9	
Q9Y548	YIPF1
Q6ZRX8	
Q9UF83	
Q6UXQ8	UNQ6190/PRO20217
Q96MF0	
Q9UI25	PRO0461
Q6ZRN7	
Q6ZS49	
Q86U90	YRDC DRIP3 IRIP
Q6ZPA2	
Q8N402	
Q8N8P6	
Q569K4	ZNF385B ZNF533
Q9UGR2	ZC3H7B KIAA1031
Q52M93	ZNF585B
A8MUZ8	ZNF705G
Q86SH2	ZAR1
Q96FA7	ZBED6CL C7orf29
Q96IU2	ZBED3
Q8IZ13	ZBED8 Buster3 C5orf54
Q99592	ZBTB18 RP58 TAZ1 ZNF238
Q96BR9	ZBTB8A BOZF1
Q9H5J0	ZBTB3
O15062	ZBTB5 KIAA0354
Q15916	ZBTB6 ZID ZNF482
A2A288	ZC3H12D C6orf95 MCPIP4 TFL
Q86VM9	ZC3H18 NHN1
Q8IZN3	ZDHHC14
Q9NUE0	ZDHHC18
Q5W0Z9	ZDHHC20
Q15911	ZFHX3 ATBF1
Q9BQ24	ZFYVE21
Q68DK2	ZFYVE26 KIAA0321
Q86YA3	ZGRF1 C4orf21
Q9H4I2	ZHX3 KIAA0395 TIX1
O60481	ZIC3 ZNF203
Q9UBW7	ZMYM2 FIM RAMP ZNF198
Q9UJ78	ZMYM5 ZNF198L1 ZNF237 HSPC050
Q8IZC7	ZNF101
Q9UII5	ZNF107 ZFD25 ZNF588
Q8NC26	ZNF114
P52744	ZNF138
O14771	ZNF213 ZKSCAN21
Q9UK12	ZNF222
Q86WZ6	ZNF227
A6NK53	ZNF233
O75346	ZNF253 BMZF1 ZNF411
Q14586	ZNF267
Q9HCZ1	ZNF334
Q9BYN7	ZNF341
Q9GZX5	ZNF350 ZBRK1
Q8N8L2	ZNF491
Q9Y2H8	ZNF510 KIAA0972
Q8N8E2	ZNF513
Q8TB69	ZNF519
Q6P280	ZNF529 KIAA1615
Q76KX8	ZNF534 KRBO3
Q6NX49	ZNF544
Q8NEK5	ZNF548
Q8NEP9	ZNF555
P0C880	
Q96MU7	YTHDC1 KIAA1966 YT521
Q8N9L7	
Q9UI56	MEG3 PRO0518
Q96LW1	ZNF354B
Q96PM9	ZNF385A HZF RZF ZNF385
Q6P3V2	ZNF585A
P0CI00	ZNF705B
Q9Y6R6	ZNF780B ZNF779
Q49A33	ZNF876P
Q8N4Q0	ZADH2
Q9Y493	ZAN
O43829	ZBTB14 ZFP161 ZNF478
Q05516	ZBTB16 PLZF ZNF145
O15209	ZBTB22 BING1 ZBTB22A ZNF297
P24278	ZBTB25 C14orf51 KUP ZNF46
Q8NCN2	ZBTB34 KIAA1993
Q5SVQ8	ZBTB41 FRBZ1
Q96K62	ZBTB45 ZNF499
Q8NAP8	ZBTB8B
Q96C00	ZBTB9
Q9C0D7	ZC3H12C KIAA1726 MCPIP3
Q5TFG8	ZC2HC1B C6orf94 FAM164B
O60293	ZFC3H1 CCDC131 KIAA0546 PSRC2
Q96K80	ZC3H10 ZC3HDC10
Q8WU90	ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730
Q8WW36	ZCCHC13
Q9C0B9	ZCCHC2 KIAA1744
Q8N966	ZDHHC22 C14orf59
P37275	ZEB1 AREB6 TCF8
O60315	ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411
Q7Z7L7	ZER1 C9orf60 ZYG ZYG11BL
Q9NPA5	ZFP64 ZNF338
Q9H8U3	ZFAND3 TEX27
Q9P243	ZFAT KIAA1485 ZFAT1 ZNF406
Q9C0A1	ZFHX2 KIAA1056 KIAA1762 ZNF409
Q8WV99	ZFAND2B AIRAPL
Q9HCL3	ZFP14 KIAA1559 ZNF531
Q6P2D0	ZFP1 ZNF475
Q9Y6Q3	ZFP37
Q8N8Y5	ZFP41
Q96MM3	ZFP42 REX1 ZNF754
Q8NB50	ZFP62
Q8TF47	ZFP90 KIAA1954 ZNF756
Q9NS37	CREBZF ZF
Q15776	ZKSCAN8 ZNF192
Q9ULJ6	ZMIZ1 KIAA1224 RAI17 ZIMP10
O95789	ZMYM6 Buster2 KIAA1353 ZNF258
P52743	ZNF137P ZNF137
P52746	ZNF142 KIAA0236
P52747	ZNF143 SBF STAF
Q9UQR1	ZNF148 ZBP89
Q9UL58	ZNF215 BAZ2 ZKSCAN11
Q9P2Y4	ZNF219
Q9NZL3	ZNF224 BMZF2 KOX22 ZNF233 ZNF255 ZNF27
Q9UJW7	ZNF229
Q16600	ZNF239 HOK2 MOK2
Q3ZCT1	ZNF260 ZFP260
O14978	ZNF263 FPM315 ZKSCAN12
Q14587	ZNF268
Q9UDV7	ZNF282 HUB1
Q9HBT7	ZNF287 ZKSCAN13
O60281	ZNF292 KIAA0530
Q9NR11	ZNF302 ZNF135L ZNF140L ZNF327
A6NFI3	ZNF316
Q5BKZ1	ZNF326 ZIRD
Q6P1L6	ZNF343
Q9NW07	ZNF358
P17032	ZNF37A KOX21 ZNF37
Q8NF99	ZNF397 ZNF47 ZSCAN15
Q9C0G0	ZNF407 KIAA1703
Q9BWM5	ZNF416
Q2M1K9	ZNF423 KIAA0760 NPHP14 OAZ
Q96B54	ZNF428 C19orf37
Q96JC4	ZNF479
Q6ZR52	ZNF493
Q96CX3	ZNF501 ZNF52
Q3MIS6	ZNF528 KIAA1827
Q9H0D2	ZNF541
Q7Z2F6	ZNF720
A8MTY0	ZNF724P
Q6ZMV8	ZNF730
B4DX44	ZNF736
O43361	ZNF749
O75541	ZNF821
Q9Y2P0	ZNF835
A8MT65	ZNF891
P17014	ZNF12 GIOT3 KOX3 ZNF325
P17020	ZNF16 HZF1 KOX9
P17039	ZNF30 KOX28
P15621	ZNF44 GIOT2 KOX7 ZNF55 ZNF58
Q15649	ZNHIT3 TRIP3
Q8WWF5	ZNRF4 RNF204
Q9Y6M5	SLC30A1 ZNT1
Q8NEW0	SLC30A7 ZNT7 ZNTL2
Q07157	TJP1 ZO1
Q05996	ZP2 ZPA
O75312	ZPR1 ZNF259
P0CG00	ZSCAN5D ZSCAN5DP
P17040	ZSCAN20 KOX29 ZNF31 ZNF360
Q96AP4	ZUFSP C6orf113
Q6WRX3	ZYG11A ZYG11
A1L4Q6	
Q0VFX4	
A8MX80	
Q9P1C3	PRO2829
Q8N9W7	
Q6ZQY7	
Q6ZVL8	
Q6UXU0	UNQ9165/PRO28630
Q5W150	
A8MT66	
Q8TCH9	
Q9BTK2	
Q86Y25	ZNF354C KID3
Q9Y330	ZBTB12 C6orf46 G10 NG35
Q9HC78	ZBTB20 DPZF ZNF288
O43167	ZBTB24 KIAA0441 ZNF450
A1YPR0	ZBTB7C APM1 ZBTB36 ZNF857C
Q8N3Z6	ZCCHC7 HSPC086
Q6NZY4	ZCCHC8
Q8WTX9	ZDHHC1 C16orf1 ZNF377
Q9ULC8	ZDHHC8 KIAA1292 ZDHHCL1 ZNF378
O76080	ZFAND5 ZA20D2 ZNF216
Q86UP3	ZFHX4
Q6ZN57	ZFP2 ZNF751
Q9NU63	ZFP57 C6orf40 ZNF698
O95159	ZFPL1
Q96KR1	ZFR
P17010	ZFX
Q96DA0	ZG16B UNQ773/PRO1567
P0C6A0	ZGLP1 GLP1
P0C7U3	ZDHHC11B
Q9Y2L8	ZKSCAN5 KIAA1015 ZFP95
Q5H9K5	ZMAT1 KIAA1789
Q5VZL5	ZMYM4 KIAA0425 ZNF262
Q03924	ZNF117
P52740	ZNF132
P52736	ZNF133 ZNF150
P52738	ZNF140
O95125	ZNF202 ZKSCAN10
Q9UDV6	ZNF212 ZNFC150
Q9UK11	ZNF223
Q9NYT6	ZNF226
Q9UIE0	ZNF230 FDZF2
Q14588	ZNF234 ZNF269
Q9Y2Q1	ZNF257 BMZF4
O43296	ZNF264 KIAA0412
Q9NRM2	ZNF277 NRIF4 ZNF277P
Q8N7M2	ZNF283
Q96RE9	ZNF300
Q9Y3M9	ZNF337
Q8TF45	ZNF418 KIAA1956
Q6IV72	ZNF425
Q8N7K0	ZNF433
Q8NDP4	ZNF439
Q9H7R0	ZNF442
Q8N0Y2	ZNF444 EZF2 ZSCAN17
Q8N9F8	ZNF454
Q96JM2	ZNF462 KIAA1803
Q9BR84	ZNF559
Q3ZCX4	ZNF568
Q96N58	ZNF578
Q96ND8	ZNF583
Q8IVC4	ZNF584
Q8IYB9	ZNF595
Q96NL3	ZNF599
Q8WXB4	ZNF606 KIAA1852 ZNF328
Q96I27	ZNF625
Q5EBL2	ZNF628
Q96N77	ZNF641
O15015	ZNF646 KIAA0296
Q8N3J9	ZNF664 ZFOC1 ZNF196
Q8TAW3	ZNF671
Q8TD23	ZNF675 TIZ
Q8IZ20	ZNF683
Q96CS4	ZNF689
Q9BU19	ZNF692
Q32M78	ZNF699
Q96N38	ZNF714
Q8TF20	ZNF721 KIAA1982
P0DKX0	ZNF728
A6NN14	ZNF729
Q8NDX6	ZNF740 TB7
Q6NUN9	ZNF746 PARIS
Q5JPB2	ZNF831 C20orf174
A6NDX5	ZNF840P C20orf157 ZNF840
A6NHJ4	ZNF860
P0CG24	ZNF883
A6NEH8	ZNF503-AS2 C10orf41 NCRNA00245
P21506	ZNF10 KOX1
P17022	ZNF18 HDSG1 KOX11 ZKSCAN6 ZNF535
P13682	ZNF35
P17038	ZNF43 KOX27 ZNF39 ZNF39L1
Q68EA5	ZNF57 ZNF424
Q9NQZ8	ZNF71 EZFIT
P17097	ZNF7 KOX4
P51523	ZNF84
Q05481	ZNF91
Q6XR72	SLC30A10 ZNT10 ZNT8
Q99726	SLC30A3 ZNT3
O95218	ZRANB2 ZIS ZNF265
Q5FWF4	ZRANB3
Q6NSZ9	ZSCAN25 ZNF498
Q8NBB4	ZSCAN1
Q9BR11	ZSWIM1 C20orf162
Q9H7M6	ZSWIM4
P98169	ZXDB
Q9C0D3	ZYG11B KIAA1730
Q15942	ZYX
Q5TYW1	ZNF658
Q5HYK9	ZNF667
Q96BR6	ZNF669
Q499Z4	ZNF672
Q8N7Q3	ZNF676
Q96N22	ZNF681
P0C7X2	ZNF688
Q5VV52	ZNF691
P17019	ZNF708 KOX8 ZNF15 ZNF15L1
Q9Y462	ZNF711 CMPX1 ZNF6
A6NNF4	ZNF726
B4DXR9	ZNF732
Q96N20	ZNF75A
Q7L3S4	ZNF771
Q6PK81	ZNF773 ZNF419B
Q6ZQV5	ZNF788
Q6PG37	ZNF790
Q96GE5	ZNF799 ZNF842
Q5CZA5	ZNF805
Q3KNS6	ZNF829
Q6ZN19	ZNF841
A8MQ14	ZNF850
P0CG23	ZNF853
B4DU55	ZNF879
Q8N0V1	ZNF295-AS1 C21orf121 NCRNA00318 PRED87
P17017	ZNF14 GIOT4 KOX6
P17024	ZNF20 KOX13
P17030	ZNF25 KOX19
Q0IIN9	ZNF252P-AS1 C8orf77
Q9P2E3	ZNFX1 KIAA1404
O14863	SLC30A4 ZNT4
Q8IWU4	SLC30A8 ZNT8
Q12836	ZP4 ZPB
A6NGD5	ZSCAN5CP ZSCAN5C
O43309	ZSCAN12 KIAA0426 ZNF305 ZNF96
Q9H4T2	ZSCAN16 ZNF392 ZNF435
Q9Y5A6	ZSCAN21 ZFP38 ZNF38
Q86W11	ZSCAN30 ZNF397OS
Q8NAM6	ZSCAN4 ZNF494
Q9P217	ZSWIM5 KIAA1511
Q19AV6	ZSWIM7 SWS1
Q2QGD7	ZXDC ZXDL
A0A024R5M7	IL18BP hCG_23241
A0A0S2Z4J1	HSD17B4 hCG_37330
E5FWC0	COX2
O95146	LAGE-2
A0A0D9SFA9	APBA1
Q9NPB5	
U3NG26	BTK
A0A024QZY6	C6orf146 hCG_1979013
A0A024RAD8	ALDH4A1 hCG_25108
B3KNW1	AP1G1
C9JFH2	SULT6B1
E9PL12	EEF1D
Q6T5J5	FLJ25801 TRIML2
Q17RI8	KIF6
Q4F687	ATP6
E3W6H4	ATP6
A0A024R6C4	NUMB hCG_1811757
B4E1Q4	RIOK3
C4N9M8	SLC39A9 hCG_2028986
H3BNC0	PRMT7 hCG_28114
A0A024R153	INVS hCG_28751
A0A024RAH6	C1orf63 hCG_1981326
A0A0B4J2C1	MRPL51
D3DQZ6	ZCSL3 DNAJC24 hCG_27856
E9PK97	SERPING1
G5E9W6	CCDC183 hCG_2039834
Q2V6Q1	CENTA2 ADAP2
Q4VB01	HOXB1
A0A024R4T4	UBE2M hCG_2045958
B2MZ39	ATP6
K7EPA0	KIAA0355
Q05BV2	UBXN1 LOC51035 hCG_1818009
A0A024R618	LOC124446 hCG_18350
A0A024RD36	RPL7L1 hCG_1779136
Q3SYD7	BRF1
B4DDG6	PTPN7 hCG_31786
H0YKB1	TJP1 hCG_27621
H9P1N1	ATP6
Q5T093	RER1
Q6NSG7	HMGN1
A0A024R5V3	GNB5 hCG_40503
A8K1Y9	GNAL hCG_1780858
A0A024R2S1	MAP4 hCG_14846
B3KT41	SV2C
B7Z5Q9	TROAP
Q5Y7G1	HLA-DQA1
V9HW71	HEL-S-107 ERP29 hCG_40139
B4DQR7	CERS5
I3L2G8	RPH3AL
Q2M3K2	RGS6 hCG_20660
B7Z3R2	TPCN1
Q6U2E0	C4B
Q8IW76	EIF2AK2
A0A0C4DGE7	EVC2 hCG_1981074
Q5SU54	HLA-DQB1
Q85KT4	ATP6
B5MC82	DDT
A0A024R2L5	FLJ20551 SLC25A38 hCG_17021
A2AAZ3	TRIM39
B4DFY5	MAP2K1 hCG_24510
A6ZB88	ATP6
Q8WTS0	SCN5A
A0A024R6N3	C14orf2 hCG_25502
A0A087WTE6	SRCIN1
A8MUN0	KRTAP5-4
B1B5P6	ASAH1
B4DG98	ATPAF2 hCG_41396
C9J8J0	SSBP1
H0YD44	PTPRK
Q5ST97	NFKBIL1 IKBL hCG_43682
K7EMP2	PLEKHM1
A0A126GVS5	OR2AP1 hCG_1648196
A6NIR2	HSPB11 C1orf41 hCG_1780523
H7BYF8	C21orf62
A0A0J9YW70	TRIM2
C9J363	PDCD10 hCG_27561
Q4KN23	KIR3DS1
Q6W4W4	AAA1 hCG_2010049
A0A024R653	FBXO34 hCG_1660225
E9PJW1	STX17
Q7LFV1	hCG_2036849
Q6ZYK7	COX-2 PTGS2
Q9NX84	EPB41L4B hCG_1738334
A0A0C4DFP5	RORA hCG_1787044
E9PS56	CYP2R1
K7ER55	ZNF540 hCG_1821866
Q96MA9	
A0A024QZN2	hCG_2024613
A0A024R993	LRRN5 hCG_16406
A0A024R3A2	DCUN1D5 hCG_41261
Q9NUL2	FLJ11292 hCG_1757724
Q8WX69	bA251O17.3 hCG_2002847
A0A075B6Q7	DISC1 hCG_1644370
D6RJI0	SLC25A30
A0A0J9YXY3	TRBV6-2 TRBV6-3
B3KUE7	UPF3A hCG_2011952
Q5VVF0	ZNF451
C9JVP0	FOXJ3 hCG_21708
B7Z2B6	APC
E2QRP0	NBN
F2Z2H3	ZNF142
Q9GZL9	HBB
A0A024R3V9	hCG_37498
A0A0C3SFZ9	FCHO1 hCG_2000568
B9TX03	MED16
H0YM30	FMN1
O43923	mmp20 MMP20 MMP25
Q7KZT7	DAP hCG_37855
L7NV50	ATP6
Q9BXD7	CDRT1
V9HW12	HEL-S-2a PRDX2 hCG_172488
X6R631	MRPL55 hCG_42248
Q8WYG5	PP3227
Q9Y628	hCG_1814231
A0A024R6J9	PRIMA1 hCG_1658529
F2Z295	SSFA2
D3DU79	SPSB3 hCG_42718
F5GYF0	ASB8
Q8NI86	OK/SW-cl.24 P4HB
A0A024QZ77	EFHD2 hCG_25379
Q7Z7Q8	MCP-3 CCL7 hCG_29304
A0A024R5Z4	PARP6 hCG_40464
B5A982	RAGE AGER
H0YDQ4	PGAP2 FRAG1 hCG_16163
A8MYJ8	NDUFA3
A1ECB7	NKX2-5
C9JUG3	SSH3 hCG_21061
K7EIX5	ASXL3
Q5VU08	ADD3 hCG_1789399
V9HWK0	HEL103 SRP72 hCG_2027162
Q3L1R2	AGER
E9PI51	AHI1
A0A024RBJ1	IFT81 hCG_1811953
E2J9M0	PTPN14
G3V194	NDUFS3 hCG_25184
H3BLV3	BTBD7
Q49AL4	NMNAT3 hCG_2022373
Q8IUA2	IA4
Q96F92	TAZ
A0A024R9I8	C8orf32 hCG_1779564
B3KSW0	CDIPT hCG_21626
D3DWB6	USP9X hCG_18381
G5E9X2	ZNF148 hCG_16464
Q9H5N7	CERK
Q5STB3	TNLG1F TNF TNFA hCG_43716
B2R6S5	CMPK CMPK1 hCG_1780368
A0A024RCW6	PPARD hCG_17666
A0A024R5P1	PICALM hCG_1730090
I3VM53	KDM2A FBXL11 hCG_21062
D3DT71	COL11A1 hCG_32386
W8D1X2	COX2
A0A0B4J2G5	CCL14
H0Y5R9	
Q3KZ29	DO ART4
Q6IB98	EIF3S3 EIF3H hCG_20900
Q4L233	FREP1 TPPP hCG_16469
A0A087WW03	CSNK1A1 hCG_201512
A0A024RCQ8	PPT2 hCG_1999928
H3BUR4	NOB1
A0A024R6U0	RSPRY1 hCG_23907
A0AUY0	RABL2A
B4DLR2	FAP
B4DSF6	CACNA2D3
E5KTA6	UNG UNG1 hCG_38494
A0A0B4J1R2	ACSS3 FLJ21963 hCG_23730
E9PJY0	SLC25A22
Q4TT65	PDIA2 LA16c-314G4.2-007
A0A024R1V0	BRCA1 hCG_16943
A8MVM8	NDUFA3
E9PI03	VPS52
G5E953	MTMR3 hCG_41636
Q4VGD2	ATP6
E5RGC5	TVP23C TVP23C-CDRT4
H3BMF4	SPNS1 SPIN1 hCG_2002366
A0A024RAL0	XRCC4 hCG_38190
Q4VB86	EPB41
A0A024RCC4	NUP98 hCG_16164
B4DFG5	SLC25A39
A0A140VKA8	ATP6V1E2 hCG_1644366
G5E9G0	RPL3 ASC-1 hCG_2015191
Q8N7Q0	FLJ40504 hCG_31808
Q96E41	TBL2
B4DF87	NCOA4
F5GZ54	MCEE
I7G285	SAMD11
D9ZGF9	SHH hCG_18375
G5E9R6	UBE2F hCG_2039446
A0A0C4DGY9	KLRF1 hCG_1773841
D3DPV3	ZNF643 hCG_15672
Q9UKT1	LY6G6E G6E
Q8TB62	HLA-DRB1
A0A126GWJ2	OR4A5 hCG_2044384
M0R1U0	ZNF493
A0A024R6G6	NDUFB1 hCG_21256
D2K1G3	COX2
G3V202	NEK3 hCG_29120
V9HWB5	HEL-S-66p PPA1 hCG_2024809
W4VSQ8	NUDT16L1 hCG_15176
Q68CY6	DKFZp686D2168 ZNF2
Q9NWF6	SPATA6L hCG_1742115
D6RBC5	OCIAD1
B7Z964	SLMAP
A0A075B796	ZNF780A
B4E3L3	USP28
Q1ZYQ1	TUBA2 hCG_19100
A0A087WXW6	SALL3
B1APY4	ROR2 hCG_1985325
B4DMG1	
A0A024R1E1	ASCC2 hCG_41640
H3BQZ7	HNRNPUL2-BSCL2 hCG_2044799
Q8TAE1	PPIL6
H9RJH6	ATP6
B0ZBE2	AGT hCG_14741
S4R3M1	DUSP22
Q85KW5	ATP8
L0R8M2	ZNF83
A0A024R5E3	MEN1 hCG_2017452
A0A0A0MSQ7	CALCR hCG_17248
E5KRP5	SPAST SPG4 hCG_23080
O95205	MBLL MBNL2 hCG_27557
B1AKH7	RP4-695O20__B.10 FLJ27365 hCG_1734370 RP4-695O20__B.10-003
J3KPQ3	NR1I2 hCG_21777
Q4VXY6	COL11A2 RP5-1033B10.5-001
B4DGM9	TOR1A hCG_30595
B4DWF2	IKZF2 ZNFN1A2 hCG_14830
Q7Z749	ZNF808
Q5SRL0	TRIM15 hCG_23773
G5E975	SMARCB1 hCG_41099
Q6FH65	CSF3 hCG_30013
F8WBK0	SLC2A11
Q5JP22	EGFL8
B4DDD6	DBNL
A0A024R1K5	PISD hCG_2010605
G5E9F5	MPV17 hCG_23713
Q9BQ02	
Q2LIR5	HLA-DRB1
Q6ZPD5	
A0A024RAA7	C1QC hCG_2037016
I3L0X1	ALDH3A2
Q7LAP4	VEGFB
A0A024R7U6	MCM4 hCG_19799
D6RC90	SERF1A SERF1B
C8Y007	ATP6
A0A0S2Z5T8	ATCAY hCG_23529
F5H2B8	EPS8
B4DP49	
E5E1A6	COX2
A0A024RAR2	DUSP16 hCG_27696
A0A024R3Z5	LANCL1 hCG_16716
A0N4Y4	Tcr-alpha hCG_2039765
D6RDK9	ACAD9
Q6MZF5	DKFZp686M2125 GALNS
A0A024RBB9	LEMD3 hCG_22729
M0R0M3	GGACT
A0A140VJM4	KCTD12 hCG_1646360
E7EP40	PKP4
F2Z3H2	ABHD16A
S4R378	DUSP22
X5DQN2	ALDH5A1 hCG_37509
A0A0G2JJI2	GPANK1
B4DK47	TBC1D7
D6RBC9	NMU hCG_20599
Q8NAW1	
A0A024R7P4	KIAA1191 hCG_40787
D3DUU2	CD163 hCG_1811758
A0A024RB55	CENTG1 hCG_40148
I3ZN76	HLA-A
B9ZVT1	RBM12B
