Q9Y2J2	EPB41L3
Q9H329	EPB41L4B
Q9HCM4	EPB41L5
P29320	EPHA3
P54756	EPHA5
P07814	EPRS
Q8IUD2	ERC1
O15083	ERC2
P84090	ERH
Q8IV48	ERI1
P10768	ESD
P13804	ETFA
Q01469	FABP5
O95864	FADS2
Q9NSI2	FAM207A
Q5HYJ3	FAM76B
Q9Y4F1	FARP1
P49327	FASN
E9PR30	FAU
P22087	FBL
P35556	FBN2
Q9Y324	FCF1
P14324	FDPS
Q92913	FGF13
Q8TAT2	FGFBP3
O95684	FGFR1OP
P07954	FH
Q02790	FKBP4
Q5D862	FLG2
P21333	FLNA
Q14315	FLNC
O75955	FLOT1
Q14254	FLOT2
Q96PY5	FMNL2
Q06787	FMR1
Q14331	FRG1
Q9P2Q2	FRMD4A
Q16658	FSCN1
Q8IY81	FTSJ3
P35637	FUS
P51116	FXR2
P06241	FYN
Q9UN86	G3BP2
Q9UQC2	GAB2
Q14697-2	GANAB
P17677	GAP43
P04406	GAPDH
P41250	GARS
Q8TB36	GDAP1
P31150	GDI1
P50395	GDI2
Q04760	GLO1
P49448	GLUD2
Q49A26	GLYR1
P63096	GNAI1
P04899	GNAI2
P08754	GNAI3
P09471	GNAO1
P50148	GNAQ
Q5JWF2	GNAS
P62873	GNB1
P62879	GNB2
P63244	RACK1
P59768	GNG2
Q13823	GNL2
Q9BVP2	GNL3
Q08378	GOLGA3
Q9BRR8	GPATCH1
Q8N158	GPC2
P06744-2	GPI
P62993	GRB2
Q9Y3R0	GRIP1
P28799	GRN
Q12849	GRSF1
P09211	GSTP1
Q00403	GTF2B
P78347	GTF2I
O00178	GTPBP1
Q9BZE4	GTPBP4
P07305	H1F0
Q92522	H1FX
P16104	H2AFX
O75367	H2AFY
Q9P0M6	H2AFY2
P0C0S5	H2AFZ
P84243	H3F3B
Q9P035	HACD3
P40939	HADHA
P55084	HADHB
P68871	HBB
Q9UBI9	HECA
P16401	HIST1H1B
P16403	HIST1H1C
P16402	HIST1H1D
P10412	HIST1H1E
P20671	HIST1H2AD
P33778	HIST1H2BB
U3KQK0	HIST1H2BN
P68431	HIST1H3J
P62805	HIST4H4
Q71DI3	HIST2H3D
Q5TEC6	HIST2H3PS2
P19367-3	HK1
P30453	HLA-A
Q29963	HLA-C
P17096-3	HMGA1
Q01581	HMGCS1
Q13151	HNRNPA0
P09651	HNRNPA1
P22626	HNRNPA2B1
P51991	HNRNPA3
Q99729-2	HNRNPAB
P07910	HNRNPC
Q14103	HNRNPD
O14979	HNRNPDL
P52597	HNRNPF
P31943	HNRNPH1
P55795	HNRNPH2
P31942	HNRNPH3
P61978-2	HNRNPK
P14866	HNRNPL
P52272	HNRNPM
O43390-2	HNRNPR
Q00839	HNRNPU
Q1KMD3	HNRNPUL2
Q5SSJ5	HP1BP3
P02790	HPX
O75506	HSBP1
Q99714	HSD17B10
Q53GQ0	HSD17B12
P51659	HSD17B4
Q3SXM5	HSDL1
P07900-2	HSP90AA1
P08238	HSP90AB1
P14625	HSP90B1
O43301	HSPA12A
P34932	HSPA4
P11021	HSPA5
P11142	HSPA8
P38646	HSPA9
P04792	HSPB1
P10809	HSPD1
P61604	HSPE1
Q92598	HSPH1
Q7Z6Z7	HUWE1
