UGT1:  UGT1A10 UGT1A1 UGT1A3 UGT1A4 UGT1A5 UGT1A6 UGT1A7 UGT1A8 UGT1A9 UGGT1
UGT2B11:  UGT2B4 UGT2B11
PIP1:  ACD PAK1IP1
LHFPL4:  LHFPL3 LHFPL4
LOXL:  LOXL1 LOXL3
F10:  FAM110A F10
NRP:  NAP1L1 NRP1 OPTN
NRU:  CSDE1 P2RY4
CNA2:  PPP3R1 PPP3CB
SULT1C2:  SULT1C2 SULT1C4
HARP:  ANKS4B SMARCAL1
PCP2:  PCP2 PTPRU
HBP1:  HBP1 GPIHBP1
PS2:  PSEN2 TFF1
GLUT10:  SLC2A10 SLC2A11
ECO:0000303|Ref.4}:  IGHV3-11 IGHV3-13 IGHV3-48 IGHV3-53 IGHV4-34 IGHV4-59
TIG1:  MED15 RARRES1
ACAT:  SOAT1 ACAT1
KIF2:  KIF21A KIF2A
VPP3:  ATP6V1B1 ATP6V1B2
AQP9:  AQP7 AQP9
FRAG1:  ATAD5 PGAP2
S100A15:  S100A14 S100A7A
TAK1:  MAP3K7 NR2C2
GPR19:  GPR19 GPR4
SIT1:  SLC6A20 SIT1
NAF1:  NAF1 TNIP1
GJE1:  GJE1 GJC3
HDAC7:  HDAC7 HDAC9
CST6:  CSTB CST6
C16orf34:  CRAMP1 HN1L
ZBP1:  IGF2BP1 ZBP1
NET5:  TMEM201 TSPAN9
C17orf1:  CDRT1 FMNL1
CNIL:  CNIH1 CNIH2
RGS13:  RGS13 RGS18
SSB2:  NABP1 SPSB2
PLAP:  PLAA ALPP
PSAP:  MTCH1 PSAP SFTPA2 SFTPA1
NSL1:  KANSL1 NSL1
GCP2:  CXCL6 TUBGCP2
H13:  DFFA HM13
NOT:  ALG3 NR4A2
NOV:  NOV PLXNA1
DP1:  REEP5 TFDP1
PNP:  PPY PNP
PNR:  NR2E3 TAAR5
MR1:  MR1 PNKD
MRP:  ABCC1 MARCKSL1
MRG:  FABP7 MAS1L
B29:  CD79B MRO
APS:  KLK3 SH2B2
APE:  APEX1 CCDC88A
OSR1:  OSR1 OXSR1
CKLF:  CKLF KLF5
CLC:  CLCF1 CLC
FACD:  BRCA2 FANCD2
FACE:  ELOVL6 FANCE
HT004:  GABARAP PCID2
PSF:  APH1A IGFBP7 SFPQ
LCN5:  LCN6 LCN8
KRTAP5-11:  KRTAP5-11 KRTAP5-5
SLAP:  SLA SLMAP
PKD2:  PRKD2 PKD2
PKD1:  PRKD1 PKD1
PRKACA:  PRKACA PRKCA
KCNK2:  KCNAB2 KCNK2
CART1:  ALX1 TRAF4
LMN2:  LMNB1 LMNB2
RDC1:  ACKR3 POU4F1
LEU1:  CD5 DLEU1
DUSP24:  DUSP26 STYXL1
DUSP27:  DUPD1 DUSP27
MLL2:  KMT2B KMT2D
MLL4:  KMT2B KMT2D
SAP130:  SF3B3 SAP130
URP:  ZRSR2 UCN2 UTS2B
RANBP2L1:  RGPD5 RGPD8
NEK8:  NEK8 NEK9
MUC5:  MUC5AC MUC5B
HDGF2:  HDGFRP2 HDGFRP3
MRPS28:  MRPS28 MRPS35
APPL2:  APLP2 APPL2
CD158F:  KIR2DL5A KIR2DL5B
HS3ST5:  HS3ST5 HS3ST6
TAF2A:  TAF10 TAF1
ATP5A:  ATP5J ATP5A1
TRF2:  TBPL1 TERF2
MEF:  ELF4 MEFV
MET:  MET SLTM
RNH1:  RNH1 RNASEH1
